"color","cut","clarity","price","city","depth","carat","table","x","y","z"
G,Good,VS1,1429,Zurich,57.5,0.5,56.0,5.3,5.24,3.03
I,Ideal,SI1,14548,Kimberly,62.6,2.03,55.0,8.06,8.11,5.06
H,Premium,SI1,876,Kimberly,60.5,0.41,58.0,4.85,4.81,2.92
D,Ideal,SI2,631,Tel Aviv,62.4,0.33,56.0,4.44,4.41,2.76
F,Ideal,VVS2,1008,London,61.2,0.32,57.0,4.43,4.4,2.7
F,Good,VS2,8990,Surat,62.3,1.2,57.0,6.74,6.78,4.21
E,Very Good,SI1,4912,New York City,62.6,1.01,57.0,6.36,6.41,4.0
G,Very Good,SI1,684,Surat,61.7,0.39,57.0,4.77,4.7,2.92
I,Ideal,VS2,9600,Antwerp,60.2,1.54,59.0,7.52,7.57,4.54
E,Ideal,VS2,3192,Dubai,61.5,0.76,56.0,5.92,5.89,3.63
I,Premium,SI1,523,Amsterdam,62.3,0.31,59.0,4.32,4.29,2.68
H,Ideal,VVS2,3417,New York City,61.7,0.72,55.0,5.77,5.8,3.57
F,Premium,SI1,1816,Surat,61.2,0.64,58.0,5.6,5.54,3.41
F,Ideal,VVS1,2510,Madrid,62.1,0.56,56.0,5.29,5.3,3.29
H,Very Good,VS1,5853,Surat,63.1,1.2,57.0,6.69,6.65,4.2
E,Ideal,IF,815,London,61.9,0.29,57.0,4.25,4.29,2.64
F,Premium,SI2,4452,New York City,61.3,1.0,61.0,6.39,6.36,3.91
E,Very Good,VS2,1656,Antwerp,61.9,0.58,58.0,5.31,5.36,3.3
I,Ideal,VS1,17068,Dubai,62.5,2.01,56.0,8.08,8.02,5.03
H,Very Good,SI2,8444,Las Vegas,60.2,1.51,59.0,7.33,7.43,4.44
H,Ideal,SI1,4603,Dubai,62.3,1.03,56.0,6.48,6.45,4.03
F,Very Good,VVS1,576,Madrid,60.7,0.25,59.0,4.07,4.1,2.48
J,Ideal,SI1,7943,Zurich,61.3,1.59,57.0,7.43,7.52,4.58
F,Fair,VS1,3031,Las Vegas,66.8,0.77,57.0,5.66,5.76,3.82
F,Very Good,SI1,705,Las Vegas,63.0,0.41,56.0,4.71,4.78,2.99
I,Premium,VVS1,2536,Antwerp,59.1,0.7,60.0,5.8,5.77,3.42
F,Ideal,SI1,1569,New York City,60.9,0.58,55.0,5.39,5.41,3.29
G,Premium,VS1,828,Surat,62.1,0.32,56.0,4.43,4.4,2.74
F,Ideal,VVS1,939,Antwerp,61.9,0.33,55.0,4.46,4.47,2.76
E,Ideal,SI2,1221,Kimberly,62.0,0.55,56.0,5.27,5.31,3.28
G,Ideal,IF,2655,Antwerp,62.2,0.62,54.0,5.46,5.51,3.41
E,Premium,VVS1,11382,Antwerp,60.9,1.04,58.0,6.61,6.53,4.0
G,Ideal,VVS2,11073,Kimberly,62.0,1.3,57.0,6.96,7.03,4.34
D,Ideal,VS1,6652,Paris,62.3,0.91,59.0,6.16,6.19,3.85
G,Ideal,I1,3549,Tel Aviv,61.0,1.09,56.0,6.62,6.66,4.05
F,Premium,SI1,2527,Madrid,62.1,0.7,58.0,5.7,5.64,3.52
I,Premium,VS2,7755,Surat,62.2,1.57,58.0,7.43,7.35,4.59
F,Ideal,SI2,4855,Las Vegas,61.3,1.02,56.0,6.5,6.48,3.98
E,Ideal,VS1,1649,Paris,62.5,0.5,57.0,4.99,5.05,3.14
H,Very Good,SI2,8620,Madrid,62.4,1.58,57.0,7.36,7.45,4.62
F,Ideal,VS1,939,Tel Aviv,61.7,0.39,56.1,4.65,4.7,2.89
I,Premium,SI2,7976,Tel Aviv,62.4,1.57,58.0,7.41,7.37,4.61
F,Ideal,VS1,3701,Amsterdam,61.0,0.71,56.0,5.77,5.8,3.53
J,Premium,VS1,506,Las Vegas,62.6,0.3,58.0,4.31,4.28,2.69
G,Premium,SI1,1316,Kimberly,61.3,0.55,59.0,5.23,5.28,3.22
D,Ideal,VS2,808,New York City,61.5,0.32,55.0,4.43,4.45,2.73
G,Ideal,VS1,3431,Madrid,61.8,0.71,55.0,5.71,5.76,3.55
E,Premium,VS1,1002,New York City,61.6,0.33,58.0,4.45,4.41,2.73
J,Fair,VS2,3443,Las Vegas,64.6,1.09,58.0,6.48,6.41,4.16
F,Ideal,VS1,1937,Madrid,60.9,0.54,56.0,5.27,5.29,3.21
F,Ideal,SI2,18458,Kimberly,63.3,2.03,55.0,7.96,8.05,5.08
F,Ideal,IF,2730,Paris,62.5,0.51,54.0,5.12,5.16,3.21
E,Good,VS2,5954,Antwerp,63.4,1.01,56.0,6.35,6.37,4.03
F,Ideal,VS1,16790,New York City,61.3,1.62,56.0,7.54,7.63,4.65
E,Ideal,SI1,723,Amsterdam,60.4,0.34,57.0,4.53,4.55,2.74
F,Very Good,SI1,3950,Amsterdam,62.0,0.9,59.0,6.13,6.17,3.81
G,Good,SI1,3074,Kimberly,63.7,0.9,56.0,6.1,6.06,3.87
H,Very Good,SI1,4900,Kimberly,60.2,1.06,59.0,6.6,6.55,3.96
F,Ideal,SI2,4866,Zurich,62.7,1.05,54.0,6.5,6.54,4.09
I,Ideal,VS2,5392,Antwerp,61.2,1.12,54.0,6.74,6.77,4.13
D,Premium,VVS2,1548,Luxembourg,59.8,0.45,59.0,5.01,4.85,2.96
G,Premium,VS2,4259,Kimberly,62.1,0.9,59.0,6.2,6.14,3.83
F,Premium,VS2,842,New York City,61.0,0.4,59.0,4.71,4.76,2.89
H,Premium,SI1,6505,London,61.6,1.21,61.0,6.88,6.83,4.22
H,Good,SI1,4796,Kimberly,63.4,1.02,57.0,6.36,6.42,4.05
E,Ideal,SI1,792,Antwerp,61.5,0.43,56.0,4.85,4.9,3.0
D,Ideal,SI1,1723,Amsterdam,60.5,0.56,57.0,5.31,5.36,3.23
H,Ideal,SI2,6199,London,60.6,1.23,56.0,6.94,6.92,4.2
G,Premium,VS2,12196,Antwerp,62.5,1.5,59.0,7.28,7.32,4.56
G,Ideal,VS1,7790,Paris,61.2,1.06,56.0,6.56,6.62,4.03
E,Very Good,VS2,658,Luxembourg,62.6,0.3,58.0,4.25,4.28,2.67
G,Ideal,VVS1,913,Surat,61.8,0.34,56.0,4.48,4.51,2.78
F,Very Good,VS1,2726,Las Vegas,60.5,0.7,57.0,5.77,5.8,3.5
E,Very Good,VS2,789,Antwerp,62.3,0.36,58.0,4.51,4.55,2.82
F,Ideal,VS2,776,New York City,62.9,0.3,57.0,4.29,4.26,2.69
G,Very Good,VVS2,684,Amsterdam,62.9,0.3,55.0,4.3,4.32,2.71
G,Ideal,VS2,17051,Antwerp,61.8,2.09,57.0,8.24,8.17,5.07
G,Ideal,VS1,13820,New York City,61.3,1.5,53.9,7.37,7.42,4.53
D,Ideal,SI1,807,London,61.6,0.43,56.0,4.82,4.86,2.98
G,Very Good,SI2,2001,Dubai,63.4,0.72,57.0,5.67,5.71,3.61
H,Premium,SI1,2020,New York City,62.7,0.7,59.0,5.68,5.63,3.55
J,Ideal,VS2,1923,Amsterdam,62.3,0.75,57.0,5.81,5.84,3.63
G,Ideal,SI2,651,Surat,60.6,0.4,56.0,4.82,4.79,2.91
H,Good,I1,2846,Dubai,64.2,1.01,61.0,6.25,6.18,3.99
I,Ideal,VS1,3105,Antwerp,61.9,0.78,56.0,5.91,5.94,3.67
F,Premium,SI2,3704,Las Vegas,60.1,0.9,59.0,6.31,6.24,3.77
E,Ideal,VS1,7665,Kimberly,62.7,1.01,55.0,6.45,6.4,4.03
G,Ideal,VVS1,1080,Luxembourg,60.9,0.36,57.0,4.63,4.57,2.8
G,Ideal,VS1,7247,London,61.5,1.05,55.0,6.56,6.59,4.04
G,Premium,VVS2,878,Surat,62.0,0.3,60.0,4.33,4.25,2.66
I,Premium,VS1,5664,Dubai,61.1,1.29,58.0,7.03,6.98,4.28
D,Premium,VS2,1619,Amsterdam,60.9,0.52,58.0,5.22,5.16,3.16
G,Ideal,SI2,1093,Luxembourg,62.4,0.53,56.0,5.18,5.14,3.22
F,Very Good,VVS2,538,Paris,61.4,0.24,57.0,4.03,4.06,2.48
H,Premium,SI1,4884,Surat,62.9,1.02,59.0,6.41,6.38,4.02
H,Very Good,VS2,1337,Antwerp,62.3,0.5,56.0,5.06,5.11,3.17
F,Premium,VS1,1076,Kimberly,62.6,0.41,58.0,4.75,4.74,2.97
D,Premium,SI1,5821,Las Vegas,58.6,1.05,60.0,6.73,6.66,3.92
F,Very Good,VS2,12526,Luxembourg,61.3,1.5,58.0,7.24,7.29,4.45
F,Ideal,IF,929,Las Vegas,61.3,0.32,57.0,4.4,4.44,2.71
D,Premium,SI2,2222,Zurich,61.8,0.7,55.0,5.71,5.68,3.52
H,Premium,SI2,17221,Surat,62.8,2.15,58.0,8.22,8.17,5.15
E,Very Good,VS2,594,Kimberly,61.6,0.32,58.0,4.4,4.47,2.73
E,Fair,SI2,10080,New York City,66.3,1.5,60.0,7.09,7.02,4.68
F,Ideal,VVS2,3351,Kimberly,61.2,0.63,56.0,5.53,5.55,3.39
G,Ideal,VS2,6890,Madrid,61.9,1.06,54.0,6.54,6.58,4.06
E,Very Good,VS2,7152,Kimberly,59.2,1.19,60.0,6.93,6.95,4.11
F,Ideal,VS2,867,Zurich,61.0,0.4,62.0,4.71,4.74,2.88
F,Fair,VS2,1602,Las Vegas,56.3,0.51,61.0,5.34,5.29,2.99
D,Premium,VS1,1975,Antwerp,62.0,0.55,58.0,5.26,5.28,3.27
F,Good,VVS2,2131,Surat,59.9,0.62,62.0,5.51,5.53,3.3
G,Very Good,VS1,1637,Antwerp,62.7,0.5,59.0,5.04,5.07,3.17
H,Premium,SI2,17666,Kimberly,62.5,2.29,58.0,8.43,8.37,5.25
G,Very Good,VVS2,541,London,61.9,0.29,56.0,4.27,4.3,2.65
H,Ideal,VS2,491,Las Vegas,62.3,0.3,56.0,4.29,4.31,2.68
D,Ideal,VS2,1928,Tel Aviv,61.8,0.55,54.0,5.26,5.29,3.26
F,Good,VVS2,846,Luxembourg,63.6,0.31,55.0,4.33,4.29,2.74
G,Ideal,VVS1,1059,Madrid,61.2,0.4,56.0,4.74,4.8,2.92
F,Good,VS2,6543,Antwerp,63.9,1.03,59.0,6.35,6.38,4.07
H,Very Good,SI2,1144,Kimberly,59.5,0.56,57.0,5.4,5.43,3.22
E,Very Good,VS1,7738,Amsterdam,60.5,1.02,60.0,6.49,6.54,3.94
I,Very Good,SI1,2316,New York City,57.5,0.76,62.0,6.03,6.08,3.48
E,Good,SI1,11795,Kimberly,64.1,1.5,58.0,7.24,7.15,4.61
H,Premium,SI2,3326,Kimberly,59.2,0.9,60.0,6.3,6.24,3.71
I,Very Good,VS2,407,Kimberly,60.7,0.3,56.0,4.32,4.34,2.63
E,Ideal,VVS2,988,Zurich,61.7,0.4,57.0,4.73,4.77,2.93
D,Premium,SI2,447,Surat,60.2,0.3,60.0,4.32,4.35,2.61
D,Premium,SI2,4912,Kimberly,59.5,1.02,62.0,6.56,6.52,3.89
G,Ideal,VS1,442,Surat,61.8,0.24,56.0,3.99,4.04,2.48
F,Premium,VS2,746,Amsterdam,61.9,0.37,58.0,4.54,4.6,2.83
F,Good,SI2,540,London,63.8,0.32,55.0,4.35,4.34,2.77
G,Very Good,VS1,4780,Luxembourg,62.7,0.9,56.0,6.1,6.14,3.84
E,Premium,SI2,9450,New York City,61.0,1.5,58.0,7.35,7.3,4.47
F,Premium,SI2,3672,Luxembourg,61.1,1.05,59.0,6.54,6.61,4.02
H,Premium,VS2,689,Dubai,61.7,0.34,60.0,4.51,4.47,2.77
G,Ideal,VS2,8728,Amsterdam,62.4,1.32,57.0,7.05,6.98,4.38
H,Ideal,VS2,1558,Amsterdam,61.6,0.57,55.0,5.34,5.36,3.29
H,Ideal,I1,6397,New York City,61.3,1.7,55.0,7.7,7.63,4.7
D,Ideal,VS2,8202,Luxembourg,62.5,1.07,57.0,6.48,6.51,4.06
E,Very Good,VVS2,3833,Surat,60.6,0.76,59.0,5.85,5.94,3.57
G,Ideal,SI1,873,Antwerp,61.8,0.4,57.0,4.74,4.78,2.94
E,Ideal,SI1,2976,Kimberly,61.0,0.72,56.0,5.82,5.85,3.56
F,Very Good,SI2,6233,Surat,61.9,1.23,58.0,6.77,6.79,4.2
D,Ideal,SI1,709,Kimberly,61.0,0.3,56.0,4.33,4.3,2.63
H,Premium,SI1,7204,Antwerp,61.1,1.33,61.0,7.05,7.02,4.3
H,Ideal,SI1,9562,Zurich,61.1,1.54,56.0,7.45,7.42,4.54
E,Very Good,SI2,2263,Dubai,62.0,0.7,59.0,5.61,5.68,3.5
G,Very Good,VS1,1648,Kimberly,59.3,0.57,56.0,5.38,5.44,3.21
D,Good,SI1,758,Las Vegas,56.5,0.41,63.0,4.98,4.94,2.8
G,Ideal,VS2,698,Madrid,62.4,0.31,55.0,4.32,4.3,2.69
E,Premium,VS1,7909,Amsterdam,62.0,1.07,60.0,6.58,6.49,4.05
H,Very Good,VS2,473,Luxembourg,62.7,0.3,59.0,4.22,4.26,2.66
E,Ideal,VVS2,2236,Surat,61.5,0.5,57.0,5.09,5.12,3.14
E,Ideal,VS2,3053,Zurich,60.9,0.71,56.0,5.77,5.83,3.53
F,Good,SI1,1388,Amsterdam,63.1,0.58,57.0,5.29,5.33,3.35
G,Ideal,VVS2,929,Antwerp,61.9,0.38,55.6,4.64,4.67,2.88
G,Ideal,IF,627,New York City,61.2,0.27,57.0,4.17,4.2,2.56
D,Very Good,VS1,3984,Dubai,61.3,0.83,57.2,6.02,6.11,3.72
I,Fair,I1,2035,Tel Aviv,64.5,1.0,58.0,6.33,6.1,4.01
G,Ideal,SI1,1437,Amsterdam,61.5,0.59,57.0,5.36,5.4,3.31
G,Premium,VS1,6221,Antwerp,62.7,1.01,58.0,6.31,6.36,3.97
G,Premium,VS2,12068,Luxembourg,61.4,1.51,58.0,7.4,7.3,4.51
E,Very Good,SI1,4286,Antwerp,62.9,0.9,56.0,6.09,6.12,3.84
G,Very Good,VVS2,976,Las Vegas,60.2,0.43,56.0,4.95,4.97,2.99
I,Ideal,VS1,457,Kimberly,62.0,0.3,57.0,4.26,4.29,2.65
I,Premium,SI1,3978,Madrid,61.9,1.11,58.0,6.63,6.61,4.1
G,Very Good,VS2,2515,Paris,63.1,0.71,58.0,5.69,5.6,3.56
E,Ideal,SI2,5938,Dubai,61.4,1.11,58.0,6.63,6.66,4.08
I,Ideal,VS2,1214,Kimberly,61.9,0.52,55.0,5.19,5.21,3.22
D,Good,SI1,5096,Kimberly,60.4,1.0,64.0,6.39,6.3,3.83
G,Premium,SI2,5167,Kimberly,60.5,1.35,60.0,7.16,7.11,4.32
D,Ideal,SI2,4012,Antwerp,61.4,0.87,54.0,6.15,6.2,3.79
F,Ideal,VVS1,12315,Tel Aviv,59.0,1.05,60.0,6.62,6.67,3.92
G,Very Good,SI1,7985,New York City,61.0,1.3,57.0,7.01,7.06,4.29
G,Very Good,VS1,1689,Las Vegas,61.1,0.52,58.0,5.16,5.19,3.16
G,Very Good,SI1,1197,Antwerp,62.1,0.5,56.0,5.05,5.09,3.15
H,Premium,SI2,12423,Paris,60.8,2.01,59.0,8.08,8.0,4.89
H,Ideal,VS2,1359,Dubai,61.9,0.54,56.0,5.24,5.26,3.25
H,Ideal,VS2,491,Dubai,62.6,0.3,55.0,4.28,4.31,2.69
H,Ideal,SI1,6661,Kimberly,62.2,1.25,57.0,6.86,6.9,4.28
F,Very Good,VS2,453,Paris,62.9,0.26,59.0,4.04,4.07,2.55
G,Good,SI1,1865,Kimberly,64.2,0.74,59.0,5.69,5.62,3.63
E,Ideal,VVS1,1030,Surat,60.7,0.35,55.0,4.56,4.6,2.78
F,Very Good,VVS2,972,Amsterdam,62.9,0.4,55.0,4.72,4.75,2.98
G,Ideal,VS2,8797,Kimberly,62.0,1.24,56.0,6.87,6.9,4.27
D,Ideal,SI1,5702,Surat,62.0,1.01,55.0,6.39,6.45,3.98
H,Premium,SI2,3640,Amsterdam,59.6,1.0,62.0,6.52,6.41,3.85
E,Ideal,VS1,2075,Antwerp,62.8,0.51,57.0,5.1,5.07,3.2
E,Ideal,VVS2,837,Luxembourg,60.8,0.32,56.0,4.43,4.45,2.7
G,Ideal,SI1,6419,Kimberly,60.7,1.17,56.0,6.79,6.84,4.13
D,Ideal,VS2,3980,Dubai,61.6,0.77,55.0,5.88,5.91,3.63
F,Ideal,SI2,4642,Surat,62.0,0.91,57.0,6.15,6.23,3.84
H,Ideal,VS2,6110,Kimberly,61.8,1.12,55.0,6.64,6.7,4.12
G,Very Good,VVS2,982,Dubai,58.9,0.4,58.0,4.8,4.84,2.84
E,Premium,SI2,3086,Surat,59.2,0.84,59.0,6.19,6.14,3.65
E,Premium,VS2,7311,Madrid,60.0,1.02,59.0,6.56,6.54,3.93
G,Ideal,VVS2,15505,Amsterdam,61.0,1.53,55.0,7.5,7.44,4.56
G,Premium,SI1,7848,Las Vegas,61.3,1.39,59.0,7.15,7.24,4.41
F,Very Good,SI2,2851,Madrid,61.0,0.87,63.0,6.22,6.07,3.75
G,Fair,SI1,4102,Luxembourg,66.9,1.01,56.0,6.15,6.22,4.14
G,Premium,SI2,4084,Luxembourg,61.2,1.12,58.0,6.67,6.69,4.09
H,Premium,VS2,4201,Las Vegas,61.9,0.91,59.0,6.18,6.23,3.84
I,Very Good,SI2,1000,Las Vegas,62.1,0.57,57.0,5.29,5.33,3.3
E,Ideal,VS1,710,Kimberly,61.7,0.3,57.0,4.28,4.31,2.65
D,Good,SI1,5927,Madrid,63.8,1.08,59.0,6.47,6.39,4.1
H,Premium,SI1,6640,Kimberly,60.2,1.21,58.0,6.93,6.88,4.16
G,Ideal,SI2,807,Dubai,61.1,0.46,57.0,4.97,5.01,3.05
G,Very Good,SI1,7372,Amsterdam,61.9,1.2,58.0,6.74,6.79,4.19
F,Ideal,IF,1389,Dubai,62.1,0.33,56.0,4.41,4.44,2.75
I,Ideal,VS2,1244,Amsterdam,62.5,0.5,55.0,5.05,5.09,3.17
G,Premium,SI1,2131,Surat,58.3,0.74,58.0,5.97,5.93,3.47
E,Ideal,VS2,658,Tel Aviv,61.5,0.3,55.0,4.28,4.31,2.64
E,Very Good,VVS2,505,Surat,61.4,0.23,60.0,3.93,3.98,2.43
I,Very Good,VS2,3238,Surat,63.1,0.89,55.0,6.09,6.17,3.87
G,Ideal,VVS1,1358,London,61.7,0.45,56.0,4.96,4.93,3.05
E,Ideal,I1,3729,Madrid,62.0,1.13,55.0,6.66,6.7,4.14
D,Fair,SI1,3689,Antwerp,64.5,0.9,61.0,6.05,6.01,3.89
D,Ideal,VS2,758,New York City,61.9,0.32,57.0,4.37,4.39,2.71
D,Very Good,SI1,756,Surat,63.3,0.32,57.0,4.39,4.36,2.77
E,Premium,SI2,8988,Kimberly,62.7,1.5,56.0,7.38,7.33,4.61
G,Premium,VS2,2405,Paris,62.3,0.72,59.0,5.77,5.69,3.57
H,Very Good,SI1,1248,New York City,61.0,0.54,57.0,5.22,5.27,3.2
D,Very Good,VS2,1703,Antwerp,59.1,0.5,59.0,5.19,5.24,3.08
H,Premium,SI2,4212,Surat,61.5,1.11,59.0,6.61,6.56,4.05
F,Ideal,IF,929,Luxembourg,60.3,0.32,58.0,4.45,4.5,2.7
I,Ideal,VS1,578,Surat,61.6,0.26,54.0,4.08,4.12,2.53
J,Very Good,SI1,4194,Surat,63.0,1.01,54.0,6.35,6.41,4.02
E,Very Good,SI1,4830,Kimberly,63.2,1.01,59.0,6.28,6.25,3.96
G,Ideal,VS1,2686,Madrid,61.0,0.71,57.0,5.77,5.74,3.51
E,Ideal,VS2,751,Luxembourg,61.9,0.38,57.0,4.61,4.66,2.87
H,Premium,SI2,5376,Las Vegas,62.2,1.2,58.0,6.79,6.74,4.21
G,Fair,VS2,5475,London,66.6,1.01,55.0,6.27,6.22,4.16
G,Ideal,SI2,5888,Zurich,61.4,1.28,57.0,6.96,6.99,4.28
F,Very Good,SI2,16603,Paris,61.5,2.06,56.0,8.15,8.18,5.02
E,Premium,SI2,838,London,60.1,0.42,58.0,4.91,4.87,2.94
I,Very Good,SI1,4185,London,63.4,1.01,55.0,6.39,6.35,4.04
F,Ideal,VVS1,2625,Kimberly,62.4,0.59,56.0,5.36,5.38,3.35
D,Ideal,VVS2,1152,Luxembourg,61.4,0.4,56.0,4.8,4.75,2.93
G,Ideal,VS2,604,Tel Aviv,61.7,0.33,55.9,4.45,4.49,2.75
G,Ideal,VVS1,1040,Surat,62.3,0.33,55.0,4.44,4.42,2.76
D,Good,SI1,663,Dubai,63.1,0.36,55.0,4.54,4.59,2.88
G,Premium,VS2,2795,Paris,62.9,0.72,57.0,5.73,5.65,3.58
F,Good,SI2,4081,Las Vegas,62.7,1.0,57.0,6.29,6.34,3.96
F,Ideal,VVS1,893,London,61.1,0.33,56.0,4.45,4.48,2.73
H,Premium,SI1,12829,Surat,61.2,2.01,62.0,8.18,8.12,4.99
D,Premium,VS2,7718,Luxembourg,62.9,1.03,59.0,6.43,6.38,4.03
E,Good,VS2,3273,Las Vegas,64.5,0.8,56.0,5.8,5.86,3.76
F,Premium,VS2,666,Antwerp,60.8,0.33,58.0,4.44,4.47,2.71
G,Ideal,VS1,13994,Paris,62.2,1.53,56.0,7.36,7.31,4.56
I,Premium,SI2,7140,Dubai,59.5,1.5,62.0,7.46,7.39,4.42
F,Ideal,VS2,1692,Antwerp,61.7,0.55,56.0,5.26,5.3,3.26
D,Very Good,VS2,4720,Surat,62.7,0.91,59.0,6.13,6.16,3.85
D,Ideal,SI1,2263,Tel Aviv,61.4,0.6,55.0,5.45,5.47,3.35
H,Ideal,IF,764,Luxembourg,62.1,0.3,57.0,4.29,4.31,2.67
G,Premium,VS2,827,Luxembourg,60.8,0.41,59.0,4.78,4.8,2.91
I,Ideal,VVS1,1743,Surat,61.1,0.56,55.0,5.35,5.33,3.26
D,Premium,SI1,626,Luxembourg,62.7,0.34,59.0,4.42,4.45,2.78
I,Ideal,SI1,436,New York City,61.9,0.31,56.0,4.33,4.36,2.69
E,Very Good,VS2,470,Dubai,63.0,0.27,57.0,4.12,4.16,2.61
D,Ideal,VS2,2307,Kimberly,61.6,0.54,55.0,5.25,5.27,3.24
G,Ideal,VS1,2437,Las Vegas,62.7,0.7,57.0,5.66,5.7,3.56
D,Good,VS2,657,Tel Aviv,63.6,0.32,55.0,4.35,4.42,2.79
G,Ideal,VVS2,754,Las Vegas,62.0,0.33,53.5,4.44,4.48,2.76
F,Premium,SI1,2856,Amsterdam,60.8,0.77,59.0,5.92,5.86,3.58
H,Ideal,SI1,1397,Surat,61.8,0.57,57.0,5.32,5.36,3.3
J,Very Good,VS1,810,Paris,63.4,0.4,58.0,4.64,4.61,2.93
G,Ideal,IF,3310,Luxembourg,61.8,0.62,56.0,5.45,5.48,3.38
E,Very Good,SI1,11325,Luxembourg,59.4,1.5,59.0,7.42,7.49,4.43
G,Ideal,VVS2,713,London,61.5,0.33,55.0,4.47,4.51,2.76
D,Ideal,VS2,938,London,62.7,0.42,55.0,4.79,4.81,3.01
J,Ideal,VS2,2817,Zurich,62.8,0.9,55.0,6.2,6.16,3.88
G,Ideal,SI1,11610,Tel Aviv,60.7,1.58,56.0,7.56,7.6,4.6
H,Ideal,VS2,491,Amsterdam,62.2,0.3,54.0,4.33,4.35,2.7
H,Ideal,VS2,648,Amsterdam,62.0,0.32,57.0,4.39,4.35,2.71
H,Very Good,VVS1,975,Kimberly,60.0,0.38,57.0,4.75,4.79,2.86
D,Ideal,VS2,692,Paris,61.8,0.33,55.0,4.43,4.44,2.74
I,Good,SI2,7464,London,63.6,1.7,59.0,7.62,7.52,4.8
F,Premium,SI2,1195,Surat,58.9,0.51,60.0,5.24,5.19,3.07
H,Ideal,VS1,2909,Zurich,61.9,0.71,56.0,5.7,5.74,3.54
D,Ideal,SI1,1687,Las Vegas,61.7,0.51,55.0,5.16,5.11,3.17
E,Very Good,VVS2,2214,Antwerp,59.8,0.59,57.0,5.48,5.53,3.29
G,Ideal,SI1,446,Surat,61.7,0.31,54.0,4.38,4.4,2.71
G,Very Good,IF,2611,Paris,60.9,0.59,57.0,5.38,5.42,3.29
F,Very Good,VS2,2400,Zurich,60.5,0.7,57.0,5.74,5.79,3.49
G,Ideal,VS1,1125,Kimberly,62.4,0.4,57.0,4.74,4.72,2.95
E,Ideal,VVS2,11166,Zurich,61.0,1.08,56.0,6.64,6.67,4.06
G,Premium,SI1,10996,Zurich,62.1,1.59,58.0,7.45,7.43,4.62
F,Ideal,VS1,7465,Zurich,62.5,1.01,54.0,6.43,6.46,4.03
G,Ideal,VS2,6177,London,62.6,1.04,55.0,6.45,6.49,4.05
E,Good,SI1,14479,Tel Aviv,64.2,1.73,58.0,7.54,7.5,4.83
E,Ideal,VVS1,924,Antwerp,61.8,0.31,56.0,4.34,4.36,2.69
G,Ideal,SI2,12831,Surat,61.9,2.26,57.0,8.44,8.36,5.2
F,Premium,SI2,506,Madrid,62.6,0.3,61.0,4.24,4.2,2.64
D,Ideal,VS2,3864,Zurich,62.2,0.78,55.0,5.87,5.97,3.68
F,Premium,SI1,1901,Antwerp,60.1,0.64,60.0,5.62,5.57,3.36
H,Good,VS1,1376,London,59.4,0.51,61.9,5.18,5.2,3.08
H,Premium,VVS2,6520,Amsterdam,61.3,1.32,58.0,7.05,7.01,4.31
E,Good,VVS2,981,Antwerp,57.7,0.4,62.0,4.82,4.88,2.8
H,Ideal,VVS1,730,Las Vegas,61.5,0.33,55.0,4.44,4.47,2.74
F,Very Good,SI1,10962,Dubai,63.4,1.5,58.0,7.2,7.16,4.55
E,Very Good,SI1,5413,Luxembourg,63.7,1.0,55.0,6.35,6.4,4.06
H,Very Good,SI1,5595,Paris,60.8,1.19,59.0,6.84,6.87,4.17
G,Ideal,SI1,6313,Surat,62.0,1.15,55.0,6.72,6.76,4.18
H,Very Good,SI1,4890,Kimberly,59.2,1.14,58.0,6.8,6.86,4.04
I,Good,SI1,394,Kimberly,63.3,0.3,59.0,4.22,4.25,2.68
I,Ideal,VVS2,2308,Antwerp,62.4,0.71,54.0,5.72,5.75,3.58
E,Ideal,SI1,1789,Surat,62.4,0.59,55.0,5.39,5.34,3.35
F,Very Good,VS2,686,Las Vegas,62.3,0.34,57.0,4.44,4.48,2.78
H,Ideal,VS2,6662,Tel Aviv,62.1,1.19,59.0,6.82,6.73,4.21
G,Ideal,VS2,743,Surat,62.5,0.33,57.0,4.41,4.39,2.75
I,Very Good,VS2,5020,Surat,61.9,1.0,59.0,6.35,6.38,3.94
D,Ideal,SI1,5543,Las Vegas,61.2,1.01,57.0,6.47,6.44,3.95
H,Ideal,IF,789,Surat,62.2,0.31,54.0,4.38,4.4,2.73
J,Good,SI1,2140,Zurich,57.4,0.82,59.0,6.25,6.19,3.57
G,Very Good,SI1,1942,London,61.1,0.71,61.0,5.71,5.72,3.49
F,Ideal,VVS2,761,Surat,61.4,0.33,55.0,4.48,4.51,2.76
H,Very Good,VVS1,798,Kimberly,61.2,0.35,60.0,4.5,4.55,2.77
D,Premium,SI2,1385,Madrid,61.4,0.6,56.0,5.43,5.41,3.33
H,Ideal,SI1,5158,Tel Aviv,61.8,1.01,54.0,6.48,6.44,3.99
J,Premium,SI2,4018,Kimberly,61.3,1.25,58.0,6.98,6.95,4.27
E,Ideal,VS2,1909,Surat,60.1,0.51,57.0,5.23,5.19,3.13
G,Premium,IF,1397,London,59.8,0.4,58.0,4.85,4.79,2.88
F,Ideal,SI1,11229,Amsterdam,62.0,1.53,56.0,7.43,7.38,4.59
I,Very Good,SI1,4848,Las Vegas,63.0,1.03,55.0,6.37,6.42,4.03
F,Premium,VS2,957,Amsterdam,59.7,0.37,59.0,4.68,4.64,2.78
F,Premium,VS2,1654,Dubai,59.6,0.56,58.0,5.34,5.36,3.19
